Product,Price
Air freshener,12.43
Alfredo sauce,10.71
All spice,4.14
Allergy medication,20.06
Aluminum foil,8.92
Anchovies,6.04
Antacids,10.88
Apple sauce,16.84
Apples,14.3
Apricots,7.51
Asparagus,20.23
Avocados,9.38
Baby food,5.82
Bacon,1.68
Bagels,9.16
Baguette,14.64
Bananas,16.76
Band-aids,4.59
Bar soap,12.72
Basil,14.9
Bay leaf,14.08
BBQ sauce,18.73
Bean salad,6.26
Beans,5.54
Beef pot pie,5.53
Beets,18.3
Berries,11.89
Bisquick,6.33
Bleach,17.85
Blue berries,19.78
Body wash,7.91
Bologna,4.8
Bottle liners,19.44
Bottles,7.16
Bouillon cubes,5.46
Bread,2.82
Breath mints,15.99
Broccoli,14.42
Brownies,18.76
Burgers,5.04
Burritos,6.07
Butter,2.64
Cabbage,12.36
Cake mix,18.73
Candles,11.87
Candy,2.35
Cantaloupe,8.99
Carrots,3.47
Cat food,17.31
Cauliflower,14.74
Celery,2.74
Cereal,4.55
Chard,13.79
Cheese,4.31
Cheezies,19.24
Cherries,13.34
Chew toy,1.21
Chick peas,15.73
Chili,3.39
Chip dip,11.33
Chips,13.34
Chives,20.62
Chocolate,7.52
Cilantro,5.73
Cinnamon,3.28
Clams,2.27
Cleaner,4.65
Cloves,12.02
Club soda,10.01
Cocoa powder,12.46
Coffee,18.98
Cold medicine,15.81
Collards,11.52
Conditioner,15.26
Cookies,2.74
Corn chips,14.51
Cottage cheese,15.82
Cotton swabs,15.9
Couscous,9.27
Crackers,17.89
Cranberries,15.17
Cream,4.74
Croissants,20.62
Cucumbers,11.72
Decorations,8.76
Dental floss,11.64
Deodorant,18.58
Detergent,7.74
Diapers,20.37
Dish soap,18.64
Detergent,15.18
Dog food,15.79
Doughnuts,2.1
Dried fruit,2.81
Drink crystals,13.34
Egg Nog,11.82
Egg plant,20.66
Egg substitute,13.79
Endives,4.62
English muffins,3.88
Fabric softener,19.58
Facial tissue,19.8
Fish sticks,2.88
Flea collar,2.33
Flounder,16.03
Flour,7.57
Flu medicine,17.09
Formula,18.52
French fries,19.82
Fruit,6.24
Fruit juice,19.86
Fruit salad,12.65
Garbage bags,7.03
Garlic,14.17
Ginger,1.98
Glass's cleaner,15.99
Graham crumbles,8.15
Granola bars,2.88
Grapes,11.35
Gravy,19.94
Green peppers,10.1
Hair gel,18.04
Half & half,10.69
Halibut,3.2
Hand soap,14.51
Hash browns,13.68
Hickory sticks,1.12
Honey,5.29
Hot dogs,13.05
Hot sauce,12.89
Ice cream,12.72
Icing,10.28
Instant Noodles,16.15
JellO,20.58
Jelly,1.67
Juice,20.89
Ketchup,8.58
Kiwis,11.97
Kohlrabi,3.83
Kumquats,6.72
Lemons,11.9
Lettuce,7.63
Limes,5.58
Linguini,15.21
Lip balm,9.7
Liver,18.61
Lobster,16.69
Lunch bags,7.43
Mac&cheese,2.07
Macaroni,18.83
Mangoes,9.06
Maple syrup,13.75
Margarine,14.13
Marmalade,9.61
Mashed potatoes,13.35
Mayonnaise,8.25
Medicine,9.56
Melon,6.21
Mineral water,9.3
Mints,14.32
Mixed vegetables,9.11
Mixers,15.77
Molasses,15.01
Mousse,11.02
Mozzarella sticks,8.26
Muffin Mix,2.62
Mushrooms,5.01
Muslix,5.83
Mussels,15.41
Mustard,7.67
Nacho chips,8.31
Nail clippers,6.45
Napkins,17.7
Nectarines,1.76
Oatmeal,6.55
Oil cooking,13.48
Olives,18.46
Onions,13.83
Oranges,19.3
Oregano,1.35
Oven cleaner,8.15
Oysters,14.42
Pabulum,8.54
Pancake mix,13.6
Pancakes,8.3
Papaya,20.29
Paper plates,13.48
Paper towels,11.91
Paprika,13.82
Parsley,13.03
Parsnips,12.46
Pasta,9.2
Peaches,13.9
Peanut butter,10.97
Peanuts,3.69
Pears,5.71
Pectin,1.56
Pepperoni,19.74
Perogies,1.51
Pickles,10.63
Pineapple,15
Pita bread,6.66
Pizza,1.05
Plastic cups,18.2
Plums,1.13
Popcorn,19.08
Popsicles,3.77
Pork chops,2.13
Pot scrubbers,11.09
Potatoes,17.48
Pretzels,1.17
Protein bars,11.18
Puffed wheat,20.32
Pumpernickel,11.5
Pumpkin,7.1
Radishes,17.98
Raisin bran,9.15
Raspberries,4.25
Ravioli,1.31
Red peppers,8.72
Relish,19.32
Rice crispies,3.63
Roast beef,20.67
Rotini,12.31
Rutabagas,13.36
Rye bread,5
Salad dressing,3.52
Salami,2.71
Salmon,16.39
Salsa,9.8
Sardines,19.65
Sausage,4.32
Scrubbers,1.89
Sealable bags,18.84
Shampoo,7.35
Shreddies,20.78
Shrimp,17.92
Sorbet,8.66
Sour cream,17.68
Sourdough,11.34
Soy milk,3.12
Soy sauce,9.36
Spaghetti,17.58
Spinach,19.17
Sponges,5.71
Sport drink,14.26
Sprinkles,4.31
Sprouts,5.54
Squash,10.39
Steak,6.92
Steak sauce,6.35
Stir fry,7.59
Strawberries,15.26
Sugar,4.91
Sword fish,11.78
Syrup,3.46
Taquitos,14.26
Tartar Sauce,19.88
Tater tots,9.3
Teething ring,18.72
Tilapia,2.43
Toilet paper,11.1
Tomatoes,6.36
Tortillas,3.99
Trail mix,12.9
Treats,18.64
Tub cleaner,11.51
Turkey,13.95
TV dinners,3.5
Vacuum bags,20.37
Vanilla extract,11.05
Veggie burgers,1.47
Vinegar,5.85
Waffles,3.53
Wax paper,18.43
Whipping cream,13.76
Whole grain,19.78
Yeast,16.48
Yellow peppers,6.73
Yogurt,7.99
Zucchini,13.2